Bid Price,Bid Size,Bid Amount,Ask Price,Ask Size,Ask Amount,Spread,Diff Size
1285.17,0.012,1,1285.3,0.07780838,1,-0.12999999999988177,-0.06580838
1285.11,3.5,1,1285.34,0.65534634,1,-0.2300000000000182,2.84465366
1285.1,0.87780796,3,1285.35,1.81542462,1,-0.25,-0.9376166599999999
1285.09,9.10319305,3,1285.37,0.3,1,-0.2799999999999727,8.803193049999999
1285.05,4.14677439,1,1285.38,3.35,1,-0.3300000000001546,0.7967743899999999
1285.04,2.04962,1,1285.45,3.5,1,-0.41000000000008185,-1.45038
1285.02,6.66877729,3,1285.46,0.95188201,1,-0.44000000000005457,5.71689528
1285.01,3.25381375,1,1285.47,2.18182845,1,-0.4600000000000364,1.0719853000000001
1285.0,7.12477009,15,1285.48,1.61927,1,-0.4800000000000182,5.50550009
1284.99,0.14653719,2,1285.49,3.2678213,1,-0.5,-3.12128411
1284.98,3.26788486,1,1285.5,0.56747961,1,-0.5199999999999818,2.70040525
1284.97,2.19849713,1,1285.51,6.67619522,4,-0.5399999999999636,-4.4776980900000005
1284.96,5.49624264,1,1285.52,3.5,1,-0.5599999999999454,1.9962426400000002
1284.95,12.37383291,3,1285.53,7.99999795,2,-0.5799999999999272,4.373834960000001
1284.94,12.04061282,1,1285.54,1.61927,1,-0.599999999999909,10.42134282
1284.92,8.24113886,1,1285.55,0.88149969,1,-0.6299999999998818,7.3596391699999995
1284.91,3.89130094,1,1285.56,0.5,1,-0.6499999999998636,3.39130094
1284.9,6.25619197,2,1285.57,1.61927,1,-0.6699999999998454,4.6369219699999995
1284.88,20.45673193,2,1285.59,3.32081961,1,-0.709999999999809,17.13591232
1284.87,0.10005216,1,1285.6,10.95745847,2,-0.7300000000000182,-10.85740631
1284.86,0.37454,1,1285.63,4.41631251,1,-0.7700000000002092,-4.04177251
1284.85,30.14530999,3,1285.64,1.12056034,1,-0.790000000000191,29.02474965
1284.81,1.62213488,2,1285.66,6.25619197,2,-0.8500000000001364,-4.63405709
1284.8,0.01,1,1285.67,0.87404765,1,-0.8700000000001182,-0.86404765
1284.79,4.80832025,2,1285.69,5.89260162,2,-0.900000000000091,-1.0842813699999994
1284.78,10.77050714,3,1285.7,9.87027733,2,-0.9200000000000728,0.900229809999999
1284.77,10.0,1,1285.72,5.80614453,1,-0.9500000000000455,4.19385547
1284.72,1.59765,1,1285.73,4.95488606,1,-1.009999999999991,-3.35723606
1284.71,4.65672197,1,1285.74,1.60433,1,-1.0299999999999727,3.0523919700000004
1284.69,1.59765,1,1285.76,7.14285714,1,-1.0699999999999363,-5.5452071400000005
1284.68,7.78401516,1,1285.77,1.59947,1,-1.0899999999999181,6.18454516
1284.67,2.81600001,1,1285.79,13.09318008,1,-1.1199999999998909,-10.27718007
1284.66,7.04,1,1285.8,31.1353,1,-1.1399999999998727,-24.0953
1284.63,1.59765,1,1285.81,17.1952686,5,-1.1799999999998363,-15.597618599999999
1284.6,12.29912004,2,1285.82,42.98817133,4,-1.2200000000000273,-30.689051290000002
1284.59,8.74050714,2,1285.83,13.76499282,2,-1.240000000000009,-5.02448568
1284.57,30.7478,1,1285.84,27.63138055,2,-1.2699999999999818,3.116419450000002
1284.56,1.59765,1,1285.85,2.04962,1,-1.2899999999999636,-0.45197
1284.55,0.44271402,1,1285.86,11.38382358,3,-1.3099999999999454,-10.94110956
1284.52,9.75685714,3,1285.87,1.59765,1,-1.349999999999909,8.15920714
1284.51,0.88542803,1,1285.88,8.19306827,1,-1.3700000000001182,-7.30764024
1284.5,0.37454,1,1285.89,5.75507924,1,-1.3900000000001,-5.38053924
1284.49,9.69256281,1,1285.9,7.14285714,1,-1.4100000000000819,2.54970567
1284.48,6.39283114,2,1285.91,1.59765,1,-1.4300000000000637,4.79518114
1284.47,1.61833443,1,1285.93,0.41748598,1,-1.4600000000000364,1.20084845
1284.46,14.04355,2,1285.94,1.59765,1,-1.4800000000000182,12.4459
1284.42,0.78745992,1,1285.98,2.09765,2,-1.5599999999999454,-1.31019008
1284.41,3.36850606,2,1286.01,1.59765,1,-1.599999999999909,1.77085606
1284.39,1.5748588,1,1286.04,3.11029064,2,-1.6499999999998636,-1.5354318400000002
1284.37,1.56817014,2,1286.05,6.25619197,2,-1.6800000000000637,-4.688021829999999
1284.35,1.86268879,1,1286.08,1.59765,1,-1.7300000000000182,0.26503878999999997
1284.34,1.59765,1,1286.1,18.8538312,4,-1.759999999999991,-17.256181199999997
1284.32,4.65672197,1,1286.11,18.46562909,1,-1.7899999999999636,-13.80890712
1284.29,13.0948665,3,1286.14,1.59765,1,-1.8500000000001364,11.4972165
1284.28,31.47966622,1,1286.15,1.66994394,1,-1.8700000000001182,29.80972228
1284.27,7.08,1,1286.18,1.59765,1,-1.9100000000000819,5.48235
1284.22,15.57370215,1,1286.2,3.1099236,1,-1.9800000000000182,12.46377855
1284.21,38.93425521,1,1286.22,8.67765,2,-2.009999999999991,30.256605210000004
1284.18,1.09531888,1,1286.24,4.65672197,1,-2.0599999999999454,-3.5614030900000007
1284.14,4.19416855,3,1286.25,1.59765,1,-2.1099999999999,2.59651855
1284.11,0.03,1,1286.29,1.59765,1,-2.1800000000000637,-1.56765
1284.1,3.54171212,1,1286.32,1.59765,1,-2.2200000000000273,1.9440621200000001
1284.09,1.09090024,1,1286.36,1.59765,1,-2.269999999999982,-0.5067497599999999
1284.03,3.17514711,2,1286.38,3.33988788,1,-2.3500000000001364,-0.16474076999999987
1284.02,4.0,1,1286.41,1.59765,1,-2.3900000000001,2.40235
1284.01,10.0,1,1286.43,20.20330323,2,-2.4200000000000728,-10.20330323
1283.99,0.29060791,1,1286.44,1.59765,1,-2.4500000000000455,-1.30704209
