time,average price,sum of size,volume
2023-08-26 07:15:00+00:00,26061.146557377047,2.17849635,244
2023-08-26 07:20:00+00:00,26056.54216589862,2.75522493,217
2023-08-26 07:25:00+00:00,26059.33060126582,5.04252173,316
2023-08-26 07:30:00+00:00,26052.06280898876,1.91986446,267
2023-08-26 07:35:00+00:00,26049.963780487804,1.82931864,246
2023-08-26 07:40:00+00:00,26045.684689655172,2.80665936,290
2023-08-26 07:45:00+00:00,26041.08351020408,1.77494734,245
2023-08-26 07:50:00+00:00,26043.81715517241,6.56358405,348
2023-08-26 07:55:00+00:00,26038.448102893894,4.83173769,311
2023-08-26 08:00:00+00:00,26033.993,3.99862665,310
2023-08-26 08:05:00+00:00,26038.58463054187,1.1109771,203
2023-08-26 08:10:00+00:00,26046.841322751323,0.79064704,189
2023-08-26 08:15:00+00:00,26045.28906779661,2.78715781,236
2023-08-26 08:20:00+00:00,26047.316484375,2.12766318,256
2023-08-26 08:25:00+00:00,26041.107999999997,1.41123788,195
2023-08-26 08:30:00+00:00,26010.62383616384,89.99470017,1001
2023-08-26 08:35:00+00:00,26006.447291666667,12.899571139999999,384
2023-08-26 08:40:00+00:00,26017.474854771786,4.21127119,241
2023-08-26 08:45:00+00:00,26013.19995614035,3.15059783,228
2023-08-26 08:50:00+00:00,26018.982467532467,2.51895945,154
2023-08-26 08:55:00+00:00,26023.4981372549,6.31345647,204
2023-08-26 09:00:00+00:00,26016.904013071897,18.71380188,765
2023-08-26 09:05:00+00:00,26007.768885350317,7.15718161,314
2023-08-26 09:10:00+00:00,26008.585588235295,0.93331936,136
2023-08-26 09:15:00+00:00,26006.54573684211,4.88928584,190
2023-08-26 09:20:00+00:00,26001.204086021506,5.52171328,186
2023-08-26 09:25:00+00:00,25999.451847826083,1.80764435,184
2023-08-26 09:30:00+00:00,25997.650480349344,3.08378247,229
2023-08-26 09:35:00+00:00,25997.448609625666,3.95737868,187
2023-08-26 09:40:00+00:00,25998.03313253012,1.09425497,166
2023-08-26 09:45:00+00:00,26007.374467005073,5.04236407,197
2023-08-26 09:50:00+00:00,26009.664285714287,1.05111711,175
2023-08-26 09:55:00+00:00,26004.447209302325,3.04725401,172
2023-08-26 10:00:00+00:00,26000.861324200912,2.8432487,219
2023-08-26 10:05:00+00:00,26004.760676691727,1.07064438,133
2023-08-26 10:10:00+00:00,26009.250582010583,1.07448581,189
2023-08-26 10:15:00+00:00,26010.152972972974,0.5980857900000001,148
2023-08-26 10:20:00+00:00,26015.160895522386,3.56524602,201
2023-08-26 10:25:00+00:00,26016.40825,2.10185355,200
